premises,hypothesis,labels,Lexical Semantics,Logic,Domain, Lexical Semantics,Type,Knowledge,Predicate-Argument Structure,Key Elements,Premise Polarity,Hypothesis Certainty,Verb Category,Inference derivation,Common-Sense Type 1,Common-Sense Type 2
It is clear that cinema is not the most influential art form.,Cinema is not the most influential art form.,Entailment,Factivity,,Artificial,,,,,clear,,Possibly counterfact,Impersonal,Construction driven,,
Apparently Andrew believes what his girlfriend told him.,Andrew believes what his girlfriend told him.,Neutral,Factivity,,Artificial,,,,,apparently,,Possibly Counterfact,Adverbial,Lexically driven,,
More likely Mary is your sister.,Mary is your sister.,Neutral,Factivity,,Artificial,,,,,more likely,,Possibly Fact,Adverbial,Lexically driven,,
More likely Mary is your sister.,Mary is probably your sister.,Entailment,Factivity,,Artificial,,,,,more likely,Positive,Fact,Factive,Lexically driven,,
More likely Mary is not your sister.,Mary is not your sister.,Neutral,Factivity,,Artificial,,,,,more likely,,Possibly Fact,Adverbial,Lexically driven,,
More likely Mary is your sister.,Mary might be your sister.,Entailment,Factivity,,Artificial,,,,,more likely,Positive,Fact,Adverbial,Lexically driven,,
Donald's testimony is probably biased and will be dismissed.,Donald's testimony is biased.,Neutral,Factivity,,Artificial,,,,,probably,,Possibly Fact,Adverbial,Lexically driven,,
Donald's testimony is presumed to be biased and will be easily dismissed.,Donald's testimony will be surely dismissed.,Neutral,Factivity,,Artificial,,,,,will be,,Possibly Fact,Volition,Lexically driven,,
Donald's testimony is presumed to be biased and will be easily dismissed.,Donald's testimony is presumed to be biased.,Entailment,Factivity,,Artificial,,,,,presumed,Positive,Fact,Factive,Construction driven,,
Megan's lover probably killed her child.,Megan's lover killed her child.,Neutral,Factivity,,Artificial,,,,,probably,,Possibly Fact,Adverbial,Lexically driven,,
Megan's presumed lover killed her child.,Somebody killed Megan's child.,Entailment,Factivity,,Artificial,,,,,killed,Positive,Fact,Factive,Construction driven,,
Megan's lover probably killed her child.,Megan had a lover.,Entailment,Factivity,,Artificial,,,,,killed,Positive,Fact,Factive,Construction driven,,
Megan's presumed lover probably killed her child.,Megan had a lover.,Neutral,Factivity,,Artificial,,,,,presumed,,Possibly Fact,Adjective,Lexically driven,,
The presumed killer was arrested.,The killer was arrested.,Neutral,Factivity,,Artificial,,,,,presumed,,Possibly Fact,Adjective,Lexically driven,,
The presumed killer was arrested.,Somebody was arrested.,Entailment,Factivity,,Artificial,,,,,was arrested,Positive,Fact,Factive,Construction driven,,
Eleonor unsuccessfully tried to get her job back.,Eleonor got her job back.,Contradiction,Factivity,,Artificial,,,,,unsuccessfully,Negative,Counterfact,Adverbial,Lexically driven,,
Eleonor successfully tried to get her job back.,Eleonor got her job back.,Entailment,Factivity,,Artificial,,,,,successfully,Positive,Fact,Adverbial,Lexically driven,,
Eleonor unsuccessfully tried to get her job back.,Eleonor did not get her job back.,Entailment,Factivity,,Artificial,,,,,unsuccessfully,Negative,Fact,Adverbial,Lexically driven,,
Eleonor successfully tried to get her job back.,Eleonor did not get her job back.,Contradiction,Factivity,,Artificial,,,,,successfully,Positive,Counterfact,Adverbial,Lexically driven,,
Eleonor tried to get her job back.,Eleonor got her job back.,Neutral,Factivity,,Artificial,,,,,tried to,,Possibly Fact,Factive,Construction driven,,
Eleonor tried to get her job back.,Eleonor did not get her job back.,Neutral,Factivity,,Artificial,,,,,tried to,,Possibly Fact,Factive,Construction driven,,
Jules vainly tried to pass the exam.,Jules passed the exam.,Contradiction,Factivity,,Artificial,,,,,vainly,Negative,Counterfact,Adverbial,Lexically driven,,
Jules vainly tried to pass the exam.,Jules failed the exam.,Entailment,Factivity,,Artificial,,,,,vainly,Positive,Fact,Adverbial,Lexically driven,,
Jules vainly tried to pass the exam.,Jules tried to pass the exam.,Entailment,Factivity,,Artificial,,,,,tried to,Positive,Fact,Factive,Lexically driven,,
Jules vainly tried to pass the exam.,Jules did not pass the exam.,Entailment,Factivity,,Artificial,,,,,vainly,Positive,Fact,Adverbial,Lexically driven,,
Alex vainly searched for his keys.,Alex found his keys.,Contradiction,Factivity,,Artificial,,,,,vainly,Negative,Counterfact,Adverbial,Lexically driven,,
Alex vainly searched for his keys.,Alex did not find his keys.,Entailment,Factivity,,Artificial,,,,,vainly,Positive,Fact,Adverbial,Lexically driven,,
Alex vainly searched for his keys.,Alex knew where his keys were.,Contradiction,Factivity,,Artificial,,,,,searched,Negative,Counterfact,Factive,Construction driven,,
Joey vainly waited for Daniel.,Daniel did not show up.,Entailment,Factivity,,Artificial,,,,,vainly,Positive,Fact,Adverbial,Lexically driven,,
Joey vainly waited for Daniel at the restaurant.,Daniel met Joey at the restaurant.,Contradiction,Factivity,,Artificial,,,,,vainly,Negative,Counterfact,Adverbial,Lexically driven,,
Cher informed Lucas that the fridge was empty.,The fridge was empty.,Entailment,Factivity,,Artificial,,,,,informed,Positive,Fact,Report,Lexically driven,,
Cher informed Lucas that the fridge was empty.,The fridge was not empty.,Contradiction,Factivity,,Artificial,,,,,informed,Positive,Counterfact,Report,Lexically driven,,
Cher informed Lucas that the fridge was empty.,The fridge was full.,Contradiction,Factivity,,Artificial,,,,,informed,Negative,Counterfact,Report,Lexically driven,,
Stephan's father suspects that he did not go to school yesterday.,Stephen did not go to school yesterday.,Neutral,Factivity,,Artificial,,,,,suspects,,Possibly Fact,Belief and opinion,Lexically driven,,
Stephan's father suspects that he did not go to school yesterday.,Stephen went to school yesterday.,Neutral,Factivity,,Artificial,,,,,suspects,,Possibly Fact,Belief and opinion,Lexically driven,,
Stephen's father knows he did not go to school yesterday.,Stephen's father suspects he did not go to school yesterday.,Neutral,Factivity,,Artificial,,,,,knows,,Fact,Knowledge,Lexically driven,,
Stephen's father knows he did not go to school yesterday.,Stephen did not go to school yesterday.,Entailment,Factivity,,Artificial,,,,,knows,Negative,Fact,Knowledge,Lexically driven,,
Stephen's father knows he did not go to school yesterday.,Stephen went to school yesterday.,Contradiction,Factivity,,Artificial,,,,,knows,Negative,Counterfact,Knowledge,Lexically driven,,
Jessica concluded that it was raining.,It was raining.,Entailment,Factivity,,Artificial,,,,,concluded,Positive,Fact,Inferencing process,Lexically driven,,
Jessica concluded that it was raining.,It was not raining.,Contradiction,Factivity,,Artificial,,,,,concluded,Positive,Counterfact,Inferencing process,Lexically driven,,
Jessica concluded that it was raining.,Jessica suspected that it was raining.,Neutral,Factivity,,Artificial,,,,,concluded,,Fact,Inferencing process,Lexically driven,,
Jessica guessed that it was raining.,It was raining.,Neutral,Factivity,,Artificial,,,,,guessed,,Possibly Fact,Belief and opinion,Lexically driven,,
Jessica guessed that it was raining.,It was not raining.,Neutral,Factivity,,Artificial,,,,,guessed,,Possibly counterfact,Belief and opinion,Lexically driven,,
Jessica heard that it was hailing.,It was hailing.,Neutral,Factivity,,Artificial,,,,,heard,Positive,Fact,Perception,Lexically driven,,
Jessica heard that it was hailing.,It was not hailing.,Contradiction,Factivity,,Artificial,,,,,heard,Positive,Counterfact,Perception,Lexically driven,,
Andie recognised Tim from the window.,Tim was outside Andie's window.,Entailment,Factivity,,Artificial,,,,,recognised,Positive,Fact,Perception,Lexically driven,,
Andie recognised Tim from the window.,Tim was not outside Andie's window.,Contradiction,Factivity,,Artificial,,,,,recognised,Positive,Counterfact,Perception,Lexically driven,,
Andie recognised Tim from the window.,Tim could be outside Andie's window.,Neutral,Factivity,,Artificial,,,,,recognised,,Possibly Fact,Perception,Lexically driven,,
Andie recognised Tim from the window.,Andie knew Tim was outside her window.,Entailment,Factivity,,Artificial,,,,,recognised,Positive,Fact,Perception,Lexically driven,,
Andie recognised Tim from the window.,Andie realized Tim was outside her window.,Entailment,Factivity,,Artificial,,,,,recognised,Positive,Fact,Perception,Lexically driven,,
Marta confessed that she killed Sam.,Marta killed Sam.,Entailment,Factivity,,Artificial,,,,,confessed,Positive,Fact,Expressing proof,Lexically driven,,
Marta confessed that she killed Sam.,Marta did not kill Sam.,Contradiction,Factivity,,Artificial,,,,,confessed,Positive,Counterfact,Expressing proof,Lexically driven,,
Marta confessed that she killed Sam.,Marta told that she killed Sam.,Entailment,Factivity,,Artificial,,,,,confessed,Positive,Fact,Factive,Lexically driven,,
Sally confessed that she shot the Senator.,Sally shot the Senator.,Entailment,Factivity,,Artificial,,,,,confessed,Positive,Fact,Expressing proof,Lexically driven,,
Sally just confessed that she shot the Senator.,Sally did not shoot the Senator.,Contradiction,Factivity,,Artificial,,,,,confessed,Positive,Counterfact,Expressing proof,Lexically driven,,
Clark admitted that he he was involved in the kidnapping.,Clark was involved in the kidnapping.,Entailment,Factivity,,Artificial,,,,,admitted,Positive,Fact,Expressing proof,Lexically driven,,
Clark admitted that he he was involved in the kidnapping.,Clark was not involved in the kidnapping.,Contradiction,Factivity,,Artificial,,,,,admitted,Positive,Counterfact,Expressing proof,Lexically driven,,
At least Nate admitted that he had an affair.,Nate had an affair.,Entailment,Factivity,,Artificial,,,,,admitted,Positive,Fact,Expressing proof,Lexically driven,,
At least Nate admitted that he had an affair.,Nate did not have an affair.,Contradiction,Factivity,,Artificial,,,,,admitted,Positive,Counterfact,Expressing proof,Lexically driven,,
At least Nate admitted that he had an affair.,Nate has an affair.,Neutral,Factivity,,Artificial,,,,,had,,Possibly Fact,Factive,Construction driven,,
Chuck admitted that he killed Danny.,Chuck killed Danny.,Entailment,Factivity,,Artificial,,,,,admitted,Positive,Fact,Expressing proof,Lexically driven,,
Chuck admitted that he killed Danny.,Chuck did not kill Danny.,Contradiction,Factivity,,Artificial,,,,,admitted,Positive,Counterfact,Expressing proof,Lexically driven,,
Chuck admitted that he killed Danny.,Danny was killed.,Entailment,Factivity,,Artificial,,,,,admitted,Positive,Fact,Expressing proof,Construction driven,,
Chuck admitted that he killed Danny.,Danny is dead.,Entailment,Factivity,,Artificial,,,,,admitted,Positive,Fact,Expressing proof,Construction driven,,
Michael admitted that he stole the music.,Michael stole the music.,Entailment,Factivity,,Artificial,,,,,admitted,Positive,Fact,Expressing proof,Lexically driven,,
Michael admitted that he stole the music.,Michael did not steal the music.,Contradiction,Factivity,,Artificial,,,,,admitted,Positive,Counterfact,Expressing proof,Lexically driven,,
Michael admitted that he did not steal the music.,Michael stole the music.,Contradiction,Factivity,,Artificial,,,,,admitted,Negative,Counterfact,Expressing proof,Lexically driven,,
Michael admitted that he did not steal the music.,Michael did not steal the music.,Entailment,Factivity,,Artificial,,,,,admitted,Negative,Fact,Expressing proof,Lexically driven,,
Selma has implied that she is married.,Selma might be married.,Entailment,Factivity,,Artificial,,,,,implied,,Possibly Fact,Belief and opinion,Lexically driven,,
Selma has implied that she is married.,Selma is married. ,Neutral,Factivity,,Artificial,,,,,implied,,Possibly Fact,Belief and opinion,Lexically driven,,
Selma has implied that she is married.,Selma is not married. ,Neutral,Factivity,,Artificial,,,,,implied,,Possibly Counterfact,Belief and opinion,Lexically driven,,
Seth may have implied that Ryan is married.,Ryan is married.,Neutral,Factivity,,Artificial,,,,,may,,Possibly Fact,Belief and opinion,Lexically driven,,
Seth may have implied that Ryan is married.,Ryan is not married. ,Neutral,Factivity,,Artificial,,,,,may,,Possibly Counterfact,Belief and opinion,Lexically driven,,
Seth may have implied that Ryan is married.,Seth has implied that Ryan is married. ,Neutral,Factivity,,Artificial,,,,,may,,Possibly Fact,Belief and opinion,Lexically driven,,
Seth suggested that Ryan was married.,Ryan was married.,Neutral,Factivity,,Artificial,,,,,suggested,,Possibly Fact,Belief and opinion,Lexically driven,,
Seth suggested that Ryan was married.,Ryan was not married.,Neutral,Factivity,,Artificial,,,,,suggested,,Possibly Counterfact,Belief and opinion,Lexically driven,,
Bruce implied that he was Batman.,Bruce was Batman.,Neutral,Factivity,,Artificial,,,,,implied,,Possibly Fact,Belief and opinion,Lexically driven,,
Bruce implied that he was Batman.,Bruce was not Batman.,Neutral,Factivity,,Artificial,,,,,implied,,Possibly Counterfact,Belief and opinion,Lexically driven,,
Bruce implied that he was not Batman.,Bruce was Batman.,Neutral,Factivity,,Artificial,,,,,implied,,Possibly Counterfact,Belief and opinion,Lexically driven,,
Bruce implied that he was not Batman.,Bruce was not Batman.,Neutral,Factivity,,Artificial,,,,,implied,,Possibly Fact,Belief and opinion,Lexically driven,,
Scientists suggest that the planet is polluted.,The planet is polluted.,Neutral,Factivity,,Artificial,,,,,suggest,,Possibly Fact,Belief and opinion,Lexically driven,,
Scientists suggest that the planet is not polluted.,The planet is polluted.,Neutral,Factivity,,Artificial,,,,,suggest,,Possibly Counterfact,Belief and opinion,Lexically driven,,
Scientists suggest that the planet is in danger.,The planet is not in danger.,Neutral,Factivity,,Artificial,,,,,suggest,,Possibly Counterfact,Belief and opinion,Lexically driven,,
Scientists suggest that the planet is not in danger.,The planet is not in danger.,Neutral,Factivity,,Artificial,,,,,suggest,,Possibly Fact,Belief and opinion,Lexically driven,,
The neighbors confessed that the killer was a man.,The killer was a man.,Entailment,Factivity,,Artificial,,,,,confessed,Positive,Fact,Expressing proof,Lexically driven,,
The thieves confessed that the painting was lost.,The painting was not lost.,Contradiction,Factivity,,Artificial,,,,,confessed,Positive,Counterfact,Expressing proof,Lexically driven,,
The thieves confessed that the painting was not lost.,The painting was lost.,Contradiction,Factivity,,Artificial,,,,,confessed,Negative,Counterfact,Expressing proof,Lexically driven,,
The thieves confessed that the painting was not lost.,The painting was not lost.,Entailment,Factivity,,Artificial,,,,,confessed,Negative,Fact,Expressing proof,Lexically driven,,
Some media speculated that the money was offered.,The money was offered.,Neutral,Factivity,,Artificial,,,,,speculated,,Possibly Fact,Belief and opinion,Lexically driven,,
Some media speculated that the money was offered.,The money was not offered.,Neutral,Factivity,,Artificial,,,,,speculated,,Possibly Counterfact,Belief and opinion,Lexically driven,,
The doctors speculated that the cause of Susy's death was pneumonia.,The cause of Susy's death was pneumonia.,Neutral,Factivity,,Artificial,,,,,speculated,,Possibly Fact,Belief and opinion,Lexically driven,,
The doctors speculated that the cause of Susy's death was pneumonia.,The cause of Susy's death was not pneumonia.,Neutral,Factivity,,Artificial,,,,,speculated,,Possibly Counterfact,Belief and opinion,Lexically driven,,
Martha presumed that Ben was in love with her.,Ben was in love with Martha.,Neutral,Factivity,,Artificial,,,,,presumed,,Possibly Fact,Belief and opinion,Lexically driven,,
Martha presumed that Ben was in love with her.,Ben was not in love with Martha.,Neutral,Factivity,,Artificial,,,,,presumed,,Possibly Counterfact,Belief and opinion,Lexically driven,,
Martha presumed that Ben was not in love with her.,Ben was in love with Martha.,Neutral,Factivity,,Artificial,,,,,presumed,,Possibly Counterfact,Belief and opinion,Lexically driven,,
Martha presumed that Ben was not in love with her.,Ben was not in love with Martha.,Neutral,Factivity,,Artificial,,,,,presumed,,Possibly Fact,Belief and opinion,Lexically driven,,
Martha learned that Ben was in love with her.,Ben was not in love with Martha.,Contradiction,Factivity,,Artificial,,,,,learned,Positive,Counterfact,Knowledge,Lexically driven,,
Martha learned that Ben was in love with her.,Ben was in love with Martha.,Entailment,Factivity,,Artificial,,,,,learned,Positive,Fact,Knowledge,Lexically driven,,
Martha learned that Ben was not in love with her.,Ben was not in love with Martha.,Entailment,Factivity,,Artificial,,,,,learned,Negative,Fact,Knowledge,Lexically driven,,
Martha learned that Ben was not in love with her.,Ben was in love with Martha.,Contradiction,Factivity,,Artificial,,,,,learned,Negative,Counterfact,Knowledge,Lexically driven,,
Martha accepted that Ben was not in love with her.,Ben was in love with Martha.,Contradiction,Factivity,,Artificial,,,,,accepted,Negative,Counterfact,Factive,Lexically driven,,
Martha accepted that Ben was not in love with her.,Ben was not in love with Martha.,Entailment,Factivity,,Artificial,,,,,accepted,Negative,Fact,Factive,Lexically driven,,
Matthew saw that the window was closed.,The window was closed.,Entailment,Factivity,,Artificial,,,,,saw,Positive,Fact,Perception,Lexically driven,,
Matthew saw that the window was closed.,The window was not closed.,Contradiction,Factivity,,Artificial,,,,,saw,Positive,Counterfact,Perception,Lexically driven,,
Matthew saw that the window was closed.,The window was open.,Contradiction,Factivity,,Artificial,,,,,saw,Negative,Counterfact,Perception,Lexically driven,,
Matthew saw that the window was closed.,The window was not open.,Entailment,Factivity,,Artificial,,,,,saw,Positive,Fact,Perception,Lexically driven,,
Matthew saw that the window was not closed.,The window was open.,Entailment,Factivity,,Artificial,,,,,saw,Positive,Fact,Perception,Lexically driven,,
Matthew saw that the window was not closed.,The window was closed.,Contradiction,Factivity,,Artificial,,,,,saw,Negative,Counterfact,Perception,Lexically driven,,
Matthew saw that the window was not closed.,The window was not closed.,Entailment,Factivity,,Artificial,,,,,saw,Negative,Fact,Perception,Lexically driven,,
Bill ran as if a dog were chasing him.,A dog was chasing Bill.,Contradiction,Factivity,,Artificial,,,,,as if,Negative,Counterfact,Figure of Speech,Construction driven,,
July carries on as if Seth were still alive.,Seth is alive.,Contradiction,Factivity,,Artificial,,,,,as if,Negative,Counterfact,Figure of Speech,Construction driven,,
July carries on as if Seth were still alive.,Seth is dead.,Entailment,Factivity,,Artificial,,,,,as if,Positive,Fact,Figure of Speech,Construction driven,,
Sarah loves Glenn as if he were her brother.,Glenn is Sarah's brother.,Contradiction,Factivity,,Artificial,,,,,as if,Negative,Counterfact,Figure of Speech,Construction driven,,
Mary got upset as if it were the end of the world.,It was the end of the world.,Contradiction,Factivity,,Artificial,,,,,as if,Negative,Counterfact,Figure of Speech,Construction driven,,
Nick treated them as if they had killed his dog.,They killed Nick's dog.,Contradiction,Factivity,,Artificial,,,,,as if,Negative,Counterfact,Figure of Speech,Construction driven,,
David avoided people like they were zombies.,People were zombies.,Contradiction,Factivity,,Artificial,,,,,like,Negative,Counterfact,Figure of Speech,Construction driven,,
Many people treat animals like they were commodities.,Animals are commodities.,Contradiction,Factivity,,Artificial,,,,,like,Negative,Counterfact,Figure of Speech,Construction driven,,
Sara crushed her enemies as if they were insects.,Sara's enemies were insects.,Contradiction,Factivity,,Artificial,,,,,as if,Negative,Counterfact,Figure of Speech,Construction driven,,
It is clear that Amy has a crush on Tom.,Amy has a crush on Tom.,Entailment,Factivity,,Artificial,,,,,clear,Positive,Fact,Impersonal,Lexically driven,,
It is evident that Hank survived the catastrophe.,Hank survived the catastrophe.,Entailment,Factivity,,Artificial,,,,,evident,Positive,Fact,Impersonal,Lexically driven,,
It is clear that Amy has a crush on Tom.,Amy does not have a crush on Tom.,Contradiction,Factivity,,Artificial,,,,,clear,Positive,Counterfact,Impersonal,Lexically driven,,
It is clear that Amy does not have a crush on Tom.,Amy has a crush on Tom.,Contradiction,Factivity,,Artificial,,,,,clear,Negative,Counterfact,Impersonal,Lexically driven,,
It is clear that Amy does not have a crush on Tom.,Amy does not have a crush on Tom.,Entailment,Factivity,,Artificial,,,,,clear,Negative,Fact,Impersonal,Lexically driven,,
It is evident that Hank survived the catastrophe.,Hank did not survive the catastrophe.,Contradiction,Factivity,,Artificial,,,,,evident,Positive,Counterfact,Impersonal,Lexically driven,,
It is evident that Morgan escaped.,Morgan escaped.,Entailment,Factivity,,Artificial,,,,,evident,Positive,Fact,Impersonal,Lexically driven,,
It is evident that Morgan did not escape.,Morgan escaped.,Contradiction,Factivity,,Artificial,,,,,evident,Negative,Counterfact,Impersonal,Lexically driven,,
It is evident that Morgan escaped.,Morgan did not escape.,Contradiction,Factivity,,Artificial,,,,,evident,Positive,Counterfact,Impersonal,Lexically driven,,
It is evident that Morgan did not escape.,Morgan did not escape.,Entailment,Factivity,,Artificial,,,,,evident,Negative,Fact,Impersonal,Lexically driven,,
It is well-known that the State is looking for other sources.,The State is looking for other sources.,Entailment,Factivity,,Artificial,,,,,known,Positive,Fact,Impersonal,Lexically driven,,
Donald falsely claimed that the virus does not exist.,The virus does not exist.,Contradiction,Factivity,,Artificial,,,,,falsely,Positive,Counterfact,Adverbial,Lexically driven,,
Donald falsely claimed that the virus does not exist.,The virus exists.,Entailment,Factivity,,Artificial,,,,,falsely,Positive,Fact,Adverbial,Lexically driven,,
Victoria was falsely accused of killing her husband.,Victoria killed her husband.,Contradiction,Factivity,,Artificial,,,,,falsely,Negative,Counterfact,Adverbial,Lexically driven,,
Victoria was falsely accused of killing her husband.,Victoria did not kill her husband.,Entailment,Factivity,,Artificial,,,,,falsely,Negative,Fact,Adverbial,Lexically driven,,
Victoria was accused of killing her husband.,Victoria killed her husband.,Neutral,Factivity,,Artificial,,,,,accused,,Possibly Fact,Factive,Construction driven,,
Victoria was accused of killing her husband.,Victoria did not kill her husband.,Neutral,Factivity,,Artificial,,,,,accused,,Possibly Counterfact,Factive,Construction driven,,
Victoria was not accused of killing her husband.,Victoria did not kill her husband.,Neutral,Factivity,,Artificial,,,,,accused,,Possibly Fact,Factive,Lexically driven,,
Joe has just finished reading a book.,Joe was reading a book.,Entailment,Factivity,,Artificial,,,,,finished,Positive,Fact,Change of state,Lexically driven,,
Joe has just finished reading a book.,Joe was not reading a book.,Contradiction,Factivity,,Artificial,,,,,finished,Positive,Counterfact,Change of state,Lexically driven,,
"Despite being very tired, Eliza continued to work.",Eliza was very tired.,Entailment,Factivity,,Artificial,,,,,despite,Positive,Fact,Factive,Construction driven,,
"Despite being very tired, Eliza continued to work.",Eliza was not very tired.,Contradiction,Factivity,,Artificial,,,,,despite,Positive,Counterfact,Factive,Construction driven,,
"Despite being very tired, Eliza continued to work.",Eliza was working.,Entailment,Factivity,,Artificial,,,,,continued,Positive,Fact,Change of state,Lexically driven,,
"Despite being very tired, Eliza continued to work.",Eliza was not working.,Contradiction,Factivity,,Artificial,,,,,continued,Positive,Counterfact,Change of state,Lexically driven,,
Leo will start eating healthy tomorrow.,Leo is not eating healthy right now.,Entailment,Factivity,,Artificial,,,,,start,Negative,Fact,Change of state,Lexically driven,,
Leo will start eating healthy tomorrow.,Leo is eating healthy.,Contradiction,Factivity,,Artificial,,,,,start,Negative,Counterfact,Change of state,Lexically driven,,
Leo will start eating healthy tomorrow.,Tomorrow Leo will eat healthy.,Neutral,Factivity,,Artificial,,,,,will,,Possibly Fact,Volition,Lexically driven,,
Leo will start eating healthy tomorrow.,Tomorrow Leo will not eat healthy.,Neutral,Factivity,,Artificial,,,,,will,,Possibly Counterfact,Volition,Lexically driven,,
Ale would like to call Matteo today.,Ale will call Matteo today.,Neutral,Factivity,,Artificial,,,,,would like,,Possibly Fact,Volition,Lexically driven,,
Ale would like to call Matteo today.,Ale will not call Matteo today.,Neutral,Factivity,,Artificial,,,,,would like,,Possibly Counterfact,Volition,Lexically driven,,
Ale does not have to call Matteo today.,Ale will call Matteo today.,Neutral,Factivity,,Artificial,,,,,have to,,Possibly Counterfact,Volition,Lexically driven,,
Ale does not have to call Matteo today.,Ale will not call Matteo today.,Neutral,Factivity,,Artificial,,,,,have to,,Possibly Fact,Volition,Lexically driven,,
Amy would never eat raw fish.,Amy will never eat raw fish.,Neutral,Factivity,,Artificial,,,,,would,,Possibly Fact,Volition,Lexically driven,,
Amy would never eat raw fish.,Amy will eat raw fish.,Neutral,Factivity,,Artificial,,,,,would,,Possibly Counterfact,Volition,Lexically driven,,
Francesco is planning to go to Texas this summer.,Francesco will be in Texas this summer.,Neutral,Factivity,,Artificial,,,,,planning,,Possibly Fact,Volition,Lexically driven,,
Francesco is planning to go to Texas this summer.,Francesco will not be in Texas this summer.,Neutral,Factivity,,Artificial,,,,,planning,,Possibly Counterfact,Volition,Lexically driven,,
"Jen would like to have dinner with Cliff, one of these days.",Jen will have dinner with Cliff one of these days.,Neutral,Factivity,,Artificial,,,,,would like,,Possibly Fact,Volition,Lexically driven,,
Laura is glad she did not go to Milan last month.,Laura went to Milan last month.,Contradiction,Factivity,,Artificial,,,,,is glad,Negative,Counterfact,Psychological reaction,Lexically driven,,
Laura is glad she did not go to Milan last month.,Laura did not go to Milan last month.,Entailment,Factivity,,Artificial,,,,,is glad,Negative,Fact,Psychological reaction,Lexically driven,,
Laura is glad she went to Milan last month.,Laura did not go to Milan last month.,Contradiction,Factivity,,Artificial,,,,,is glad,Positive,Counterfact,Psychological reaction,Lexically driven,,
Laura is glad she went to Milan last month.,Laura went to Milan last month.,Entailment,Factivity,,Artificial,,,,,is glad,Positive,Fact,Psychological reaction,Lexically driven,,
Laura is glad she did not go to Milan last month.,Laura went to Rome last month.,Neutral,Factivity,,Artificial,,,,,is glad,,Possibly Fact,Psychological reaction,Lexically driven,,
Laura regrets having gone to Milan last month.,Laura went to Milan last month.,Entailment,Factivity,,Artificial,,,,,regrets,Positive,Fact,Psychological reaction,Lexically driven,,
Laura regrets not having gone to Milan last month.,Laura went to Milan last month.,Contradiction,Factivity,,Artificial,,,,,regrets,Negative,Counterfact,Psychological reaction,Lexically driven,,
Laura regrets having gone to Milan last month.,Laura did not go to Milan last month.,Contradiction,Factivity,,Artificial,,,,,regrets,Positive,Counterfact,Psychological reaction,Lexically driven,,
Laura regrets not having gone to Milan last month.,Laura did not go to Milan last month.,Entailment,Factivity,,Artificial,,,,,regrets,Negative,Fact,Psychological reaction,Lexically driven,,
Luca knows that Dire Straits were the best band ever. ,Dire Straits were the best band ever.,Entailment,Factivity ,,Artificial,,,,,knows,Positive,Fact,Knowledge,Lexically driven,,
Luca knows that Dire Straits were the best band ever. ,Dire Straits were not the best band ever.,Contradiction,Factivity,,Artificial,,,,,knows,Positive,Counterfact,Knowledge,Lexically driven,,
Luca doubts that Dire Straits were the best band ever.,Dire Straits were the best band ever.,Neutral,Factivity,,Artificial,,,,,doubts,,Possibly Fact,Doubt,Lexically driven,,
Luca doubts that Dire Straits were the best band ever.,Dire Straits were not the best band ever.,Neutral,Factivity,,Artificial,,,,,doubts,,Possibly Counterfact,Doubt,Lexically driven,,
Luca doubts that Dire Straits were not the best band ever.,Dire Straits were the best band ever.,Neutral,Factivity,,Artificial,,,,,doubts,,Possibly Counterfact,Doubt,Lexically driven,,
Luca doubts that Dire Straits were not the best band ever.,Dire Straits were not the best band ever.,Neutral,Factivity,,Artificial,,,,,doubts,,Possibly Fact,Doubt,Lexically driven,,
Luca guesses that Dire Straits were not the best band ever.,Dire Straits were not the best band ever.,Neutral,Factivity,,Artificial,,,,,guesses,,Possibly Fact,Belief and opinion,Lexically driven,,
Luca guesses that Dire Straits were not the best band ever.,Dire Straits were the best band ever.,Neutral,Factivity,,Artificial,,,,,guesses,,Possibly Counterfact,Belief and opinion,Lexically driven,,
"Even if they have split up, Dire straits remain the best band ever.",Dire Straits have split up.,Entailment,Factivity,,Artificial,,,,,if,Positive,Fact,Factive,Construction driven,,
"Even if they have split up, Dire straits remain the best band ever.",Dire Straits have not split up.,Contradiction,Factivity,,Artificial,,,,,if,Negative,Counterfact,Factive,Construction driven,,
Maggie inferred that the ring had been stolen.,The ring had been stolen.,Entailment,Factivity,,Artificial,,,,,inferred,Positive,Fact,Inferencing process,Lexically driven,,
Maggie inferred that the ring had been stolen.,The ring had not been stolen.,Contradiction,Factivity,,Artificial,,,,,inferred,Positive,Counterfact,Inferencing process,Lexically driven,,
Maggie inferred that the ring had not been stolen.,The ring had been stolen.,Contradiction,Factivity,,Artificial,,,,,inferred,Negative,Counterfact,Inferencing process,Lexically driven,,
Maggie inferred that the ring had not been stolen.,The ring had not been stolen.,Entailment,Factivity,,Artificial,,,,,inferred,Negative,Fact,Inferencing process,Lexically driven,,
Harry realized the door was forced.,The door was forced.,Entailment,Factivity,,Artificial,,,,,realized,Positive,Fact,Knowledge,Lexically driven,,
Harry realized the door was forced.,The door was not forced.,Contradiction,Factivity,,Artificial,,,,,realized,Positive,Counterfact,Knowledge,Lexically driven,,
Harry did not realize the door was forced.,The door was forced.,Entailment,Factivity,,Artificial,,,,,realized,Positive,Fact,Knowledge,Lexically driven,,
Harry did not realize the door was forced.,The door was not forced.,Contradiction,Factivity,,Artificial,,,,,realized,Positive,Counterfact,Knowledge,Lexically driven,,
